2020-08-15 11:25:18 install libavcodec58:armhf <none> 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:25:18 status half-installed libavcodec58:armhf 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:25:24 status unpacked libavcodec58:armhf 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:25:25 install libbluray2:armhf <none> 1:1.1.0-1
2020-08-15 11:25:25 status half-installed libbluray2:armhf 1:1.1.0-1
2020-08-15 11:25:26 status unpacked libbluray2:armhf 1:1.1.0-1
2020-08-15 11:25:26 install libchromaprint1:armhf <none> 1.4.3-3
2020-08-15 11:25:26 status half-installed libchromaprint1:armhf 1.4.3-3
2020-08-15 11:25:26 status unpacked libchromaprint1:armhf 1.4.3-3
2020-08-15 11:25:26 install libgme0:armhf <none> 0.6.2-1
2020-08-15 11:25:26 status half-installed libgme0:armhf 0.6.2-1
2020-08-15 11:25:27 status unpacked libgme0:armhf 0.6.2-1
2020-08-15 11:25:27 install libmpg123-0:armhf <none> 1.25.10-2
2020-08-15 11:25:27 status half-installed libmpg123-0:armhf 1.25.10-2
2020-08-15 11:25:28 status unpacked libmpg123-0:armhf 1.25.10-2
2020-08-15 11:25:28 install libvorbisfile3:armhf <none> 1.3.6-2
2020-08-15 11:25:28 status half-installed libvorbisfile3:armhf 1.3.6-2
2020-08-15 11:25:28 status unpacked libvorbisfile3:armhf 1.3.6-2
2020-08-15 11:25:28 install libopenmpt0:armhf <none> 0.4.3-1+deb10u1
2020-08-15 11:25:28 status half-installed libopenmpt0:armhf 0.4.3-1+deb10u1
2020-08-15 11:25:29 status unpacked libopenmpt0:armhf 0.4.3-1+deb10u1
2020-08-15 11:25:29 install libssh-gcrypt-4:armhf <none> 0.8.7-1+deb10u1
2020-08-15 11:25:29 status half-installed libssh-gcrypt-4:armhf 0.8.7-1+deb10u1
2020-08-15 11:25:29 status unpacked libssh-gcrypt-4:armhf 0.8.7-1+deb10u1
2020-08-15 11:25:29 install libavformat58:armhf <none> 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:25:29 status half-installed libavformat58:armhf 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:25:31 status unpacked libavformat58:armhf 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:25:32 install libbdplus0:armhf <none> 0.1.2-3
2020-08-15 11:25:32 status half-installed libbdplus0:armhf 0.1.2-3
2020-08-15 11:25:33 status unpacked libbdplus0:armhf 0.1.2-3
2020-08-15 11:25:33 install libcaca0:armhf <none> 0.99.beta19-2.1
2020-08-15 11:25:33 status half-installed libcaca0:armhf 0.99.beta19-2.1
2020-08-15 11:25:34 status unpacked libcaca0:armhf 0.99.beta19-2.1
2020-08-15 11:25:34 install libcdio18:armhf <none> 2.0.0-2
2020-08-15 11:25:34 status half-installed libcdio18:armhf 2.0.0-2
2020-08-15 11:25:35 status unpacked libcdio18:armhf 2.0.0-2
2020-08-15 11:25:35 install libcdio-cdda2:armhf <none> 10.2+0.94+2-4
2020-08-15 11:25:35 status half-installed libcdio-cdda2:armhf 10.2+0.94+2-4
2020-08-15 11:25:35 status unpacked libcdio-cdda2:armhf 10.2+0.94+2-4
2020-08-15 11:25:35 install libcdio-paranoia2:armhf <none> 10.2+0.94+2-4
2020-08-15 11:25:35 status half-installed libcdio-paranoia2:armhf 10.2+0.94+2-4
2020-08-15 11:25:35 status unpacked libcdio-paranoia2:armhf 10.2+0.94+2-4
2020-08-15 11:25:36 install libdca0:armhf <none> 0.0.6-1
2020-08-15 11:25:36 status half-installed libdca0:armhf 0.0.6-1
2020-08-15 11:25:36 status unpacked libdca0:armhf 0.0.6-1
2020-08-15 11:25:36 install libglvnd0:armhf <none> 1.3.0-7~bpo10+1
2020-08-15 11:25:36 status half-installed libglvnd0:armhf 1.3.0-7~bpo10+1
2020-08-15 11:25:36 status unpacked libglvnd0:armhf 1.3.0-7~bpo10+1
2020-08-15 11:25:36 install libwayland-server0:armhf <none> 1.16.0-1
2020-08-15 11:25:36 status half-installed libwayland-server0:armhf 1.16.0-1
2020-08-15 11:25:36 status unpacked libwayland-server0:armhf 1.16.0-1
2020-08-15 11:25:36 install libgbm1:armhf <none> 19.3.2-1~bpo10+1~rpt1
